institution.displayName,institution.schoolType,ranking.sortRank,searchData.enrollment.rawValue,searchData.acceptanceRate.rawValue,searchData.hsGpaAvg.rawValue,searchData.satAvg.displayValue,searchData.engineeringRepScore.rawValue,searchData.businessRepScore.rawValue,searchData.computerScienceRepScore.rawValue
Pomona College,national-liberal-arts-colleges,3,1764,7.0,,1470-1570,,,3.2
Pontifical Catholic University of Puerto Rico--Arecibo,national-universities,-1,419,98.0,,,,,
Pontifical Catholic University of Puerto Rico--Ponce,national-universities,317,4889,91.0,,,,,
Pontifical College Josephinum,national-liberal-arts-colleges,-2,50,75.0,,,,,
Portland State University,national-universities,285,17753,98.0,3.4,1000-1250,2.1,2.6,2.6
Prairie View A&M University,national-universities,-1,8372,76.0,,870-1040,< 2.0,< 2.0,< 2.0
Presbyterian College,national-liberal-arts-colleges,124,991,71.0,3.4,1010-1220,,,
Princeton University,national-universities,1,5321,4.0,3.9,1460-1570,4.1,,4.6
Principia College,national-liberal-arts-colleges,51,322,84.0,3.4,1028-1193,,,
Providence Christian College,national-liberal-arts-colleges,-2,121,42.0,,,,,
Purchase College--SUNY,national-liberal-arts-colleges,136,3446,75.0,3.4,1120-1320,,,
Purdue University Global,national-universities,-1,33192,,,,,,
Purdue University--West Lafayette,national-universities,51,37101,69.0,3.7,1190-1430,4.3,3.7,4.2
Quinnipiac University,national-universities,166,6298,88.0,3.4,1130-1310,2.8,2.7,
Radford University,national-universities,-1,6513,95.0,3.3,950-1150,,2.2,< 2.0
Randolph College,national-liberal-arts-colleges,124,482,94.0,3.3,910-1140,,,
Randolph-Macon College,national-liberal-arts-colleges,107,1501,84.0,3.7,1010-1235,,,
Reed College,national-liberal-arts-colleges,72,1366,42.0,,,,,
Regent University,national-universities,299,4518,41.0,3.3,960-1230,,,< 2.0
Regis University,national-universities,250,2745,81.0,3.7,1030-1270,,,< 2.0
Rensselaer Polytechnic Institute,national-universities,51,5614,53.0,3.9,1360-1520,3.5,3.1,3.5
Rhodes College,national-liberal-arts-colleges,55,2050,54.0,3.9,1280-1460,,,< 2.0
Rice University,national-universities,15,4247,9.0,,1490-1570,3.9,,3.9
Ripon College,national-liberal-arts-colleges,136,810,80.0,3.4,940-1160,,,
Roanoke College,national-liberal-arts-colleges,120,1865,80.0,3.6,1080-1230,,,
Robert Morris University,national-universities,194,3007,94.0,,1040-1230,2.2,2.1,
Rochester Institute of Technology,national-universities,105,14000,71.0,3.7,1270-1450,3.1,3.2,3.4
Roosevelt University,national-universities,-1,2623,92.0,3.1,860-1120,,,< 2.0
Rowan University,national-universities,194,15147,84.0,3.4,1070-1280,2.3,2.5,2.3
Russell Sage College,national-universities,219,1207,72.0,3.3,920-1180,,,
Rust College,national-liberal-arts-colleges,-1,623,29.0,,,,,
Rutgers University--Camden,national-universities,127,4856,79.0,,1040-1230,,2.8,
Rutgers University--Newark,national-universities,115,8334,77.0,,1030-1270,,2.9,
Rutgers University--New Brunswick,national-universities,55,36152,68.0,,1240-1470,3.2,3.3,3.6
Sacred Heart Major Seminary,national-liberal-arts-colleges,-2,253,100.0,,,,,
Sacred Heart University,national-universities,219,6761,66.0,3.6,1140-1300,,2.4,
Saint Anselm College,national-liberal-arts-colleges,111,1954,78.0,3.4,1140-1320,,,
Saint Leo University,national-universities,-1,2274,71.0,3.1,1040-1180,,,< 2.0
Saint Louis University,national-universities,105,7366,70.0,3.9,1160-1370,2.2,3.1,2.3
Saint Mary's College,national-liberal-arts-colleges,100,1402,83.0,3.8,1060-1260,,,
Saint Mary's University of Minnesota,national-universities,299,1246,98.0,3.5,1118-1181,,,
Saint Michael's College,national-liberal-arts-colleges,119,1421,86.0,3.3,1118-1293,,,
Saint Vincent College,national-liberal-arts-colleges,120,1430,73.0,3.6,950-1213,,,
Salem College,national-liberal-arts-colleges,124,367,90.0,,1053-1200,,,
Samford University,national-universities,127,3607,84.0,3.8,1100-1290,,2.7,
Sam Houston State University,national-universities,263,18259,97.0,,920-1120,,2.2,< 2.0
San Diego State University,national-universities,151,30865,38.0,3.8,1120-1330,2.5,3.2,2.8
San Francisco State University,national-universities,234,27179,93.0,,930-1130,3.0,2.6,2.5
Santa Clara University,national-universities,55,5895,54.0,3.7,1290-1470,2.4,3.3,2.7
Sarah Lawrence College,national-liberal-arts-colleges,72,1529,57.0,3.7,1260-1470,,,
Scripps College,national-liberal-arts-colleges,33,1095,30.0,,1380-1520,,,
Seattle Pacific University,national-universities,219,2640,92.0,3.5,1050-1300,2.8,2.2,< 2.0
Seattle University,national-universities,137,4301,82.0,3.6,1120-1330,3.2,2.8,2.5
Seton Hall University,national-universities,137,6063,77.0,3.6,1200-1370,,3.0,
Shenandoah University,national-universities,299,2416,74.0,3.7,1060-1260,,2.1,
Simmons University,national-universities,151,1748,78.0,3.8,1130-1360,,2.3,
Simpson University,national-liberal-arts-colleges,-1,659,67.0,,960-1185,,,
Skidmore College,national-liberal-arts-colleges,39,2686,31.0,,1270-1440,,,
Smith College,national-liberal-arts-colleges,13,2566,30.0,,1370-1530,3.5,,2.6
Soka University of America,national-liberal-arts-colleges,29,435,53.0,3.7,1205-1400,,,
South College,national-universities,-1,4175,,,,,,
South Dakota State University,national-universities,317,9847,87.0,3.5,980-1220,2.0,,2.2
Southeastern Baptist Theological Seminary,national-universities,-1,897,82.0,,,,,
Southeastern University,national-universities,-1,8118,45.0,3.5,960-1190,,,
Southern Illinois University--Carbondale,national-universities,263,8147,95.0,3.0,940-1190,2.0,2.5,2.2
Southern Illinois University Edwardsville,national-universities,-1,9967,98.0,3.5,920-1160,2.9,2.3,2.0
Southern Methodist University,national-universities,72,6908,53.0,3.7,1340-1510,2.5,3.5,2.6
Southern University and A&M College,national-universities,-1,6560,41.0,3.0,940-1095,2.6,< 2.0,< 2.0
Southern Virginia University,national-liberal-arts-colleges,-1,1140,99.0,,1137-1331,,,
Southwestern University,national-liberal-arts-colleges,85,1501,51.0,3.5,1150-1330,,,
Spelman College,national-liberal-arts-colleges,51,2417,51.0,3.8,1060-1240,,,
Springfield College,national-universities,202,2059,77.0,3.6,1110-1320,,,
St. Ambrose University,national-universities,263,2228,72.0,3.4,1030-1190,2.3,,< 2.0
Stanford University,national-universities,3,7645,4.0,3.9,1470-1570,4.8,,4.9
St. Catherine University,national-universities,234,2585,93.0,3.6,882-1207,,,
Stevens Institute of Technology,national-universities,83,3932,53.0,3.9,1370-1510,2.8,2.8,3.0
St. John Fisher University,national-universities,202,2597,71.0,3.5,1110-1270,,2.0,
St. John's College (MD),national-liberal-arts-colleges,61,473,53.0,3.8,1280-1468,,,
St. John's College (NM),national-liberal-arts-colleges,63,367,62.0,3.7,1238-1450,,,
St. John's University (MN),national-liberal-arts-colleges,94,1538,89.0,3.5,1085-1240,,,
St. John's University (NY),national-universities,166,15452,85.0,,1100-1310,,2.7,
St. Lawrence University,national-liberal-arts-colleges,68,2247,57.0,3.6,1220-1400,,,
St. Mary's College of Maryland,national-liberal-arts-colleges,89,1526,77.0,3.5,1135-1340,,,
St. Norbert College,national-liberal-arts-colleges,111,1941,85.0,3.6,1100-1280,,,< 2.0
Stockton University,national-universities,182,8392,85.0,3.5,1050-1250,,< 2.0,
St. Olaf College,national-liberal-arts-colleges,63,2988,47.0,3.7,1240-1430,,,
Stonehill College,national-liberal-arts-colleges,89,2423,72.0,3.4,1120-1290,,2.0,
Stony Brook University--SUNY,national-universities,77,17999,48.0,3.9,1300-1480,3.0,,3.6
St. Thomas University,national-universities,-1,3583,71.0,3.2,865-1065,,,
Suffolk University,national-universities,234,4271,88.0,3.3,1080-1280,,2.5,< 2.0
SUNY College of Environmental Science and Forestry,national-universities,105,1594,65.0,3.7,1130-1300,2.0,,
Susquehanna University,national-liberal-arts-colleges,111,2197,88.0,3.7,1090-1270,,2.1,
Swarthmore College,national-liberal-arts-colleges,4,1651,8.0,,1430-1560,3.6,,
Sweet Briar College,national-liberal-arts-colleges,-1,456,80.0,3.6,1020-1260,2.5,,
Syracuse University,national-universities,62,14778,59.0,3.7,1220-1400,2.8,3.4,3.2
Tarleton State University,national-universities,-1,11813,56.0,,970-1140,2.6,,< 2.0
Temple University,national-universities,121,25967,72.0,3.5,1110-1340,2.4,3.0,2.8
Tennessee State University,national-universities,-1,6375,56.0,3.2,890-1100,< 2.0,2.1,2.1
Tennessee Tech University,national-universities,285,8394,79.0,3.7,1050-1320,2.1,2.1,2.3
Texas A&M University,national-universities,67,56723,64.0,,1140-1380,4.0,3.8,3.7
Texas A&M University--Commerce,national-universities,-1,7369,44.0,3.4,930-1150,2.8,2.1,< 2.0
Texas A&M University--Corpus Christi,national-universities,-1,8027,91.0,3.0,970-1180,2.9,2.1,< 2.0
Texas A&M University--Kingsville,national-universities,-1,5085,93.0,3.5,900-1120,< 2.0,< 2.0,< 2.0
Texas Christian University,national-universities,89,10222,54.0,,1130-1350,3.1,3.2,
Texas Southern University,national-universities,-1,5726,63.0,3.0,820-1000,,< 2.0,
Texas State University,national-universities,-1,33175,70.0,,990-1180,< 2.0,2.3,2.0
Texas Tech University,national-universities,219,33132,68.0,3.8,1110-1280,2.6,3.1,2.8
Texas Wesleyan University,national-universities,-1,1480,47.0,,1008-1160,,2.1,
Texas Woman's University,national-universities,-1,10283,94.0,3.2,950-1160,,,
Thomas Aquinas College,national-liberal-arts-colleges,45,497,83.0,3.8,1170-1370,,,
Thomas Jefferson University,national-universities,127,3754,78.0,3.7,1130-1325,< 2.0,,
Thomas More College of Liberal Arts,national-liberal-arts-colleges,-2,80,90.0,,1120-1300,,,
Tougaloo College,national-liberal-arts-colleges,151,687,56.0,2.8,790-1090,,,
Touro University,national-universities,182,5179,77.0,3.2,1193-1400,,,< 2.0
Transylvania University,national-liberal-arts-colleges,102,971,92.0,3.7,1050-1360,,,
Trevecca Nazarene University,national-universities,-1,1924,78.0,3.4,965-1185,,,
Trinity College,national-liberal-arts-colleges,39,2159,38.0,,1333-1480,2.8,,
Trinity International University,national-universities,-1,571,86.0,,910-1100,,,
Trinity University,national-liberal-arts-colleges,55,2526,34.0,3.7,1280-1468,3.4,2.5,
Tufts University,national-universities,32,6676,11.0,,1440-1550,3.1,,3.3
Tulane University,national-universities,44,7780,10.0,3.6,1360-1510,2.5,3.6,2.8
Union College (NY),national-liberal-arts-colleges,48,2096,47.0,3.5,1270-1450,3.5,,
Union University,national-universities,194,1998,53.0,3.8,1120-1330,2.3,2.0,
United States Air Force Academy,national-liberal-arts-colleges,18,4181,12.0,3.8,1208-1490,4.2,3.2,3.0
United States Military Academy at West Point,national-liberal-arts-colleges,9,4594,11.0,3.9,1200-1440,4.3,,3.0
United States Naval Academy,national-liberal-arts-colleges,6,4528,7.0,,1200-1420,4.4,,3.2
Universidad Ana G. Mendez--Gurabo Campus,national-universities,-1,10896,,,,< 2.0,< 2.0,
University at Albany--SUNY,national-universities,182,12654,68.0,3.7,1090-1280,,2.8,2.7
University at Buffalo--SUNY,national-universities,89,21467,70.0,3.7,1180-1360,2.9,3.0,3.3
The University of Akron,national-universities,-1,12268,84.0,3.4,940-1200,2.1,2.3,
University of Alabama,national-universities,137,31685,79.0,3.8,1070-1370,2.5,3.5,2.9
University of Alabama at Birmingham,national-universities,137,13547,89.0,3.8,1173-1388,2.3,3.0,2.7
University of Alabama at Huntsville,national-universities,263,7569,74.0,3.8,1170-1420,2.4,2.8,2.7
University of Alaska--Fairbanks,national-universities,-1,5850,67.0,,1050-1270,2.1,2.3,2.2
University of Arizona,national-universities,105,38528,87.0,3.5,1120-1370,3.1,3.7,3.5
University of Arkansas,national-universities,176,24265,83.0,3.7,1050-1220,2.5,3.5,2.8
University of Arkansas at Little Rock,national-universities,-1,6357,58.0,3.4,,2.0,2.5,2.2
University of Bridgeport,national-universities,-1,2350,71.0,,920-1130,< 2.0,,
"University of California, Berkeley",national-universities,20,32143,15.0,3.9,1290-1530,4.7,4.6,4.9
"University of California, Davis",national-universities,38,31657,49.0,,1140-1400,3.6,,3.9
"University of California, Irvine",national-universities,34,29449,29.0,,1215-1450,3.4,3.7,4.0
"University of California, Los Angeles",national-universities,20,32119,11.0,3.9,1290-1520,3.9,,4.3
"University of California, Merced",national-universities,97,8321,87.0,3.5,940-1140,2.4,,
"University of California, Riverside",national-universities,89,22866,66.0,3.8,1060-1290,2.7,3.1,3.4
"University of California, San Diego",national-universities,34,33343,34.0,3.9,1260-1480,3.8,3.4,4.2
"University of California, Santa Barbara",national-universities,32,23091,29.0,3.9,1230-1480,3.5,,3.9
"University of California, Santa Cruz",national-universities,83,17864,59.0,3.6,1150-1370,2.7,,3.6
University of Central Arkansas,national-universities,-1,8244,92.0,3.7,970-1150,,2.2,< 2.0
University of Central Florida,national-universities,137,60075,36.0,3.9,1170-1350,2.8,3.0,3.1
University of Charleston,national-universities,-1,2162,70.0,,985-1160,,,
University of Chicago,national-universities,6,7526,6.0,,1510-1580,,,4.0
University of Cincinnati,national-universities,151,28910,85.0,3.7,1150-1350,2.8,3.1,2.8
University of Colorado Boulder,national-universities,97,30936,80.0,3.7,1170-1390,3.6,3.6,3.8
University of Colorado Colorado Springs,national-universities,-1,10002,95.0,3.4,990-1200,2.2,2.6,2.6
University of Colorado Denver,national-universities,219,14289,72.0,3.5,1030-1260,2.1,2.7,2.5
University of Connecticut,national-universities,67,18567,56.0,,1230-1430,2.9,3.4,3.3
University of Dayton,national-universities,127,8637,81.0,3.8,1130-1330,2.4,2.8,2.4
University of Delaware,national-universities,89,18671,70.0,3.9,1170-1350,3.1,3.1,3.1
University of Denver,national-universities,105,5867,64.0,3.7,1200-1390,2.1,3.1,2.5
University of Detroit Mercy,national-universities,202,2924,93.0,3.7,1060-1250,< 2.0,2.3,
University of Findlay,national-universities,317,3778,83.0,3.7,1010-1232,,,< 2.0
University of Florida,national-universities,29,34881,30.0,3.9,1300-1470,3.5,3.8,3.6
University of Georgia,national-universities,49,30166,40.0,3.9,1270-1450,2.5,3.8,3.2
University of Hartford,national-universities,234,4003,79.0,,1080-1270,2.9,2.5,
University of Hawaii at Hilo,national-universities,285,2763,54.0,3.5,1003-1210,,2.3,
University of Hawaii at Manoa,national-universities,166,14120,70.0,3.7,1060-1260,2.3,2.9,2.8
University of Houston,national-universities,182,38581,66.0,3.5,1140-1330,2.7,3.1,2.8
University of Houston--Clear Lake,national-universities,-1,6679,95.0,3.4,970-1160,2.5,2.3,< 2.0
University of Idaho,national-universities,176,8631,81.0,3.4,990-1220,2.1,2.7,2.6
University of Illinois--Chicago,national-universities,97,22279,79.0,3.4,1080-1310,2.8,3.1,3.4
University of Illinois Urbana-Champaign,national-universities,41,34779,60.0,,1330-1530,4.4,4.0,4.6
University of Indianapolis,national-universities,263,4063,78.0,,960-1190,,,
University of Iowa,national-universities,83,21608,86.0,3.8,1130-1350,2.9,3.6,3.3
University of Kansas,national-universities,121,19158,92.0,3.7,1090-1330,2.7,3.3,3.0
University of Kentucky,national-universities,137,21900,94.0,3.6,1083-1330,2.5,3.3,2.9
University of La Verne,national-universities,151,2506,73.0,3.2,905-1135,,,
University of Louisiana at Lafayette,national-universities,-1,13700,78.0,3.4,1023-1198,< 2.0,2.5,2.5
University of Louisiana at Monroe,national-universities,-1,6670,69.0,3.5,1050-1280,,2.2,< 2.0
University of Louisville,national-universities,182,15634,74.0,3.6,1050-1270,2.3,3.0,
University of Lynchburg,national-universities,219,1640,97.0,3.5,960-1160,,,
University of Maine,national-universities,219,9447,96.0,3.4,1070-1280,2.2,2.7,2.7
University of Maine--Machias,national-liberal-arts-colleges,-1,747,97.0,3.2,820-1200,,,
University of Mary,national-universities,-1,2562,37.0,3.6,970-1290,,,
University of Mary Hardin-Baylor,national-universities,-1,3224,99.0,3.5,970-1160,,,
"University of Maryland, Baltimore County",national-universities,137,10835,81.0,3.9,1220-1410,2.6,,3.1
"University of Maryland, College Park",national-universities,55,30922,52.0,3.9,1330-1510,3.8,3.8,4.2
"University of Maryland, Eastern Shore",national-universities,-1,1812,81.0,3.0,805-1018,2.4,< 2.0,
University of Mary Washington,national-liberal-arts-colleges,149,3660,82.0,3.7,1130-1320,,2.2,
University of Massachusetts--Amherst,national-universities,67,24231,66.0,,1250-1460,3.1,3.4,3.9
University of Massachusetts--Boston,national-universities,234,12269,79.0,3.4,1060-1280,3.0,2.7,2.6
University of Massachusetts--Dartmouth,national-universities,234,5833,92.0,3.4,1030-1260,2.3,2.8,2.5
University of Massachusetts Global,national-universities,-2,5237,93.0,,,,,
University of Massachusetts--Lowell,national-universities,176,12885,85.0,3.7,1170-1340,2.3,2.6,2.5
University of Memphis,national-universities,263,16702,85.0,,960-1200,2.1,2.9,2.4
University of Miami,national-universities,55,12089,28.0,3.7,1300-1460,2.5,3.3,2.9
University of Michigan--Ann Arbor,national-universities,25,32282,20.0,3.9,1360-1530,4.5,4.5,4.3
University of Michigan--Flint,national-universities,-1,4995,74.0,3.5,970-1210,2.6,2.2,< 2.0
University of Minnesota Morris,national-liberal-arts-colleges,136,1286,76.0,3.5,1040-1250,,,< 2.0
"University of Minnesota, Twin Cities",national-universities,62,36209,73.0,,1310-1490,3.7,3.9,3.8
University of Mississippi,national-universities,151,16092,90.0,3.6,1025-1225,2.2,3.1,2.5
University of Missouri,national-universities,121,23706,77.0,,1130-1350,2.6,3.1,3.0
University of Missouri--Kansas City,national-universities,263,10709,76.0,3.5,1143-1506,< 2.0,2.7,2.3
University of Missouri--St. Louis,national-universities,212,12347,57.0,3.5,1020-1300,2.7,2.7,2.1
University of Montana,national-universities,285,7223,82.0,3.4,1070-1280,,2.7,2.5
University of Nebraska -- Lincoln,national-universities,151,19552,81.0,3.6,1090-1320,2.7,3.4,3.1
University of Nebraska Omaha,national-universities,299,12197,87.0,3.4,,,2.7,2.4
"University of Nevada, Las Vegas",national-universities,285,25407,83.0,3.4,980-1210,2.2,2.8,2.5
"University of Nevada, Reno",national-universities,263,17025,88.0,3.4,1060-1270,2.3,2.5,2.4
University of New England,national-universities,285,3671,90.0,3.4,1040-1210,,,
University of New Hampshire,national-universities,137,11490,87.0,3.6,1110-1300,2.4,2.8,2.6
University of New Mexico,national-universities,212,15336,65.0,3.4,1030-1250,2.7,2.8,3.0
University of New Orleans,national-universities,-1,6508,81.0,3.2,1010-1280,< 2.0,2.4,2.3
University of North Carolina Asheville,national-liberal-arts-colleges,136,3233,82.0,3.5,1130-1330,2.6,2.2,< 2.0
University of North Carolina at Chapel Hill,national-universities,29,19897,19.0,,1320-1510,3.0,4.2,4.0
University of North Carolina at Greensboro,national-universities,219,15178,91.0,3.6,1095-1260,,2.8,2.0
University of North Carolina--Charlotte,national-universities,219,24116,80.0,3.6,1120-1320,2.3,3.0,2.9
University of North Carolina--Wilmington,national-universities,202,14488,68.0,3.9,1210-1330,,2.6,< 2.0
University of North Dakota,national-universities,250,9718,89.0,3.5,1110-1290,2.0,2.5,2.4
University of Northern Colorado,national-universities,-1,7357,92.0,3.5,970-1210,,2.3,
University of North Florida,national-universities,263,14167,77.0,3.9,1000-1210,2.6,2.4,< 2.0
University of North Texas,national-universities,285,32603,81.0,,1010-1240,2.1,2.6,2.5
University of Notre Dame,national-universities,18,8973,15.0,,1410-1550,3.5,4.0,3.6
University of Oklahoma,national-universities,127,21152,85.0,3.7,1150-1340,2.5,3.3,2.8
University of Oregon,national-universities,105,18602,93.0,3.7,1110-1330,,3.4,3.2
University of Pennsylvania,national-universities,7,9962,6.0,3.9,1480-1570,3.8,4.8,4.2
University of Phoenix,national-universities,-1,69408,,,,,,
University of Pikeville,national-universities,-1,1368,100.0,3.4,900-1140,,,
University of Pittsburgh,national-universities,62,19980,67.0,3.9,1250-1470,3.1,3.6,3.5
University of Pittsburgh--Greensburg,national-liberal-arts-colleges,-1,1408,90.0,,990-1170,,,
University of Puerto Rico--Cayey,national-liberal-arts-colleges,-1,2984,89.0,,960-1159,,,
University of Puerto Rico--Rio Piedras,national-universities,250,10877,49.0,,,,2.0,< 2.0
University of Puget Sound,national-liberal-arts-colleges,85,1866,88.0,3.6,1150-1370,,,2.1
University of Rhode Island,national-universities,182,13928,76.0,3.6,1070-1278,2.3,2.8,2.8
University of Richmond,national-liberal-arts-colleges,18,3164,29.0,3.7,1310-1490,,3.0,
University of Rochester,national-universities,36,6570,41.0,3.8,1370-1520,2.9,3.5,3.3
University of San Diego,national-universities,97,5702,53.0,3.9,1160-1340,3.7,2.9,3.0
University of San Francisco,national-universities,105,5969,71.0,3.6,1190-1390,,2.8,2.6
University of Science and Arts of Oklahoma,national-liberal-arts-colleges,-1,846,63.0,,600-1200,,,
University of South Alabama,national-universities,-1,8833,71.0,3.7,990-1200,< 2.0,2.4,< 2.0
University of South Carolina,national-universities,115,26864,62.0,3.7,1150-1360,2.5,3.5,3.0
University of South Dakota,national-universities,263,6987,87.0,3.4,1050-1290,,2.5,2.4
University of Southern California,national-universities,25,20790,13.0,3.8,1410-1540,3.6,4.2,4.0
University of Southern Mississippi,national-universities,-1,10693,96.0,3.5,,< 2.0,2.4,< 2.0
University of South Florida,national-universities,97,33077,49.0,,1140-1340,2.5,2.9,2.7
University of St. Francis,national-universities,299,1572,68.0,3.4,920-1170,,,
University of St. Thomas (MN),national-universities,137,6067,77.0,3.6,1120-1380,3.3,2.6,2.0
University of St. Thomas (TX),national-universities,250,2739,98.0,3.5,1030-1227,,2.1,
University of Tennessee at Chattanooga,national-universities,-1,10016,86.0,3.6,1030-1230,2.0,2.7,2.2
"University of Tennessee, Knoxville",national-universities,115,25067,75.0,3.7,1170-1340,2.9,3.5,3.2
The University of Texas at Arlington,national-universities,299,32962,93.0,,1000-1220,2.5,2.9,2.9
University of Texas at Austin,national-universities,38,40916,29.0,,1230-1500,4.3,4.3,4.4
The University of Texas at Dallas,national-universities,151,21445,87.0,,1170-1420,2.8,3.4,3.2
The University of Texas at El Paso,national-universities,-1,20065,100.0,3.3,880-1090,2.1,2.5,2.5
University of Texas at San Antonio,national-universities,-1,29801,90.0,,1020-1220,2.2,2.6,2.6
The University of Texas at Tyler,national-universities,-1,7185,94.0,3.4,1040-1250,3.2,2.0,
University of Texas Rio Grande Valley,national-universities,299,26405,93.0,,930-1120,2.9,2.1,< 2.0
University of the Cumberlands,national-universities,-1,4838,85.0,3.5,862-1150,,,
University of the Incarnate Word,national-universities,299,4846,94.0,3.5,925-1160,,,
University of the Pacific,national-universities,151,3306,79.0,3.5,1120-1380,2.8,2.3,2.0
The University of the South,national-liberal-arts-colleges,51,1735,60.0,,1200-1390,,,
University of the West,national-liberal-arts-colleges,-1,114,,,,,,
University of Toledo,national-universities,285,13161,97.0,3.6,1030-1290,2.0,2.4,2.1
University of Tulsa,national-universities,137,2728,75.0,3.5,1070-1370,< 2.0,2.6,2.3
University of Utah,national-universities,105,25826,95.0,3.6,1180-1390,3.0,3.5,3.6
University of Vermont,national-universities,121,11626,64.0,3.7,1240-1410,2.3,2.8,2.8
University of Virginia,national-universities,25,17299,21.0,,1390-1530,3.4,4.2,3.9
University of Virginia--Wise,national-liberal-arts-colleges,-1,1844,86.0,3.5,950-1160,2.2,,< 2.0
University of Washington,national-universities,55,36206,53.0,3.8,1220-1470,3.8,3.9,4.5
University of West Georgia,national-universities,-1,9569,70.0,3.3,940-1130,,2.1,< 2.0
University of Wisconsin--La Crosse,national-universities,250,9375,74.0,3.6,1116-1296,,2.1,
University of Wisconsin--Madison,national-universities,38,35474,60.0,3.9,1340-1510,4.0,3.9,4.2
University of Wisconsin--Milwaukee,national-universities,-1,19600,98.0,3.1,1030-1250,2.4,2.9,2.8
University of Wisconsin--Oshkosh,national-universities,-1,14068,79.0,,,,2.2,< 2.0
University of Wyoming,national-universities,202,8869,97.0,3.5,1070-1275,2.1,2.6,2.4
Ursinus College,national-liberal-arts-colleges,89,1556,83.0,3.5,1200-1360,,,
Utah State University,national-universities,250,24255,93.0,3.6,1080-1300,2.4,2.6,2.7
Valdosta State University,national-universities,-1,8776,75.0,3.2,940-1140,,2.1,< 2.0
Valparaiso University,national-universities,176,2507,93.0,3.7,1080-1330,3.7,2.5,2.1
Vanderbilt University,national-universities,13,7111,7.0,3.8,1480-1570,3.5,,3.7
Vassar College,national-liberal-arts-colleges,13,2516,20.0,,1420-1540,,,
Villanova University,national-universities,51,7032,25.0,3.9,1350-1490,2.6,3.3,2.6
Virginia Commonwealth University,national-universities,166,21394,93.0,3.8,1070-1300,2.4,3.0,2.7
Virginia Military Institute,national-liberal-arts-colleges,70,1652,64.0,3.7,1080-1280,3.5,2.3,2.3
Virginia Tech,national-universities,62,29760,56.0,3.9,1210-1410,3.9,3.5,3.9
Virginia Union University,national-liberal-arts-colleges,-1,1170,71.0,2.4,740-870,,,
Virginia Wesleyan University,national-liberal-arts-colleges,-1,1241,86.0,3.4,1150-1380,,,
Wabash College,national-liberal-arts-colleges,55,840,62.0,3.6,1140-1340,,,
Wake Forest University,national-universities,29,5472,25.0,,1350-1500,,3.5,2.7
Walsh University,national-universities,317,1639,80.0,3.6,1035-1220,,,
Warren Wilson College,national-liberal-arts-colleges,-1,625,85.0,,1040-1080,,,
Wartburg College,national-liberal-arts-colleges,-1,1513,83.0,3.5,973-1198,,,
Washington and Lee University,national-liberal-arts-colleges,11,1857,19.0,,1410-1530,,2.9,
Washington College,national-liberal-arts-colleges,85,1026,70.0,3.7,1168-1353,,,
Washington & Jefferson College,national-liberal-arts-colleges,94,1156,84.0,3.5,1050-1300,,,
Washington State University,national-universities,212,24278,86.0,3.5,1020-1240,2.8,3.1,3.1
Washington University in St. Louis,national-universities,15,8034,13.0,,1490-1570,3.4,4.0,3.6
Wayne State University,national-universities,250,16851,63.0,3.4,1000-1230,2.4,2.6,2.7
Wellesley College,national-liberal-arts-colleges,5,2461,16.0,,1400-1540,,,
Wells College,national-liberal-arts-colleges,-1,357,64.0,,,,,
Wesleyan University,national-liberal-arts-colleges,18,3385,19.0,,1300-1510,,,2.6
West Chester University of Pennsylvania,national-universities,250,14471,89.0,3.4,1070-1250,,2.0,< 2.0
Western Carolina University,national-universities,263,10145,74.0,3.4,1060-1230,2.7,2.1,< 2.0
Western Kentucky University,national-universities,-1,14729,98.0,3.5,950-1160,2.6,2.4,< 2.0
Western Michigan University,national-universities,285,15309,83.0,3.5,1000-1220,2.0,2.5,2.2
Western New England University,national-universities,234,2583,90.0,3.5,1128-1280,2.8,< 2.0,< 2.0
Westminster College (MO),national-liberal-arts-colleges,-1,654,95.0,3.4,1070-1260,,,
Westminster College (PA),national-liberal-arts-colleges,124,1176,82.0,3.7,1040-1258,,,
Westmont College,national-liberal-arts-colleges,124,1243,79.0,3.6,1160-1460,,,
West Virginia University,national-universities,234,19599,92.0,,1030-1230,2.4,2.9,2.5
Wheaton College (IL),national-liberal-arts-colleges,63,2322,86.0,3.7,1250-1440,,,
Wheaton College (MA),national-liberal-arts-colleges,89,1701,81.0,,1180-1360,,,
Whitman College,national-liberal-arts-colleges,48,1559,59.0,3.7,1265-1455,,,
Whittier College,national-liberal-arts-colleges,107,1325,82.0,3.6,1120-1340,,,
Wichita State University,national-universities,-1,12722,78.0,3.5,985-1220,2.2,2.5,2.4
Widener University,national-universities,219,2766,85.0,3.4,1080-1275,2.3,2.1,< 2.0
Wilkes University,national-universities,234,2232,95.0,3.6,1040-1250,2.1,,
Willamette University,national-liberal-arts-colleges,76,1237,79.0,,1190-1410,,,
William Carey University,national-universities,317,3264,55.0,3.7,1050-1330,,,
William & Mary,national-universities,41,6543,37.0,3.9,1360-1520,,3.4,3.3
Williams College,national-liberal-arts-colleges,1,2166,9.0,,1460-1560,,,2.9
William Woods University,national-universities,-1,882,63.0,,,,,
Wilmington University,national-universities,-1,9230,99.0,,,,,
Wingate University,national-universities,-1,2484,85.0,3.3,980-1160,,,
Winston-Salem State University,national-universities,285,4689,73.0,,900-1030,,,< 2.0
