institution.displayName,institution.schoolType,ranking.sortRank,searchData.enrollment.rawValue,searchData.acceptanceRate.rawValue,searchData.hsGpaAvg.rawValue,searchData.satAvg.displayValue,searchData.engineeringRepScore.rawValue,searchData.businessRepScore.rawValue,searchData.computerScienceRepScore.rawValue
The Catholic University of America,national-universities,176,2929,86.0,3.5,1160-1350,2.1,,2.0
Centenary College,national-liberal-arts-colleges,-1,552,64.0,,980-1190,,,
Central College,national-liberal-arts-colleges,145,1139,75.0,3.5,1040-1260,,,
Central Michigan University,national-universities,250,11434,77.0,3.5,1010-1220,2.9,2.4,2.0
Centre College,national-liberal-arts-colleges,55,1320,69.0,3.7,1235-1465,,,
Chapman University,national-universities,121,7714,60.0,,1210-1410,,2.6,< 2.0
Chatham University,national-universities,194,1460,73.0,3.8,1070-1310,,,
Cheyney University of Pennsylvania,national-liberal-arts-colleges,-1,623,,,,,,
Claflin University,national-liberal-arts-colleges,-1,1779,62.0,3.1,840-1080,,,< 2.0
Claremont McKenna College,national-liberal-arts-colleges,9,1416,11.0,,1420-1530,,,2.7
Clark Atlanta University,national-universities,-1,3390,58.0,3.2,880-1040,,2.2,
Clarke University,national-universities,285,707,89.0,,940-1190,,,
Clarkson University,national-universities,127,2852,75.0,3.8,1180-1380,2.5,2.6,2.4
Clark University,national-universities,97,2305,48.0,3.7,1218-1403,,2.7,< 2.0
Clemson University,national-universities,77,21653,49.0,3.9,1220-1420,3.0,3.4,3.1
Cleveland State University,national-universities,-1,10626,89.0,3.3,900-1170,2.0,2.5,2.0
Coe College,national-liberal-arts-colleges,142,1371,73.0,3.7,1020-1210,,,
Colby College,national-liberal-arts-colleges,24,2262,9.0,,1400-1530,,,2.5
Colgate University,national-liberal-arts-colleges,18,3164,17.0,3.8,1340-1500,,,2.4
College of St. Benedict,national-liberal-arts-colleges,94,1542,92.0,3.7,1110-1220,,,
The College of St. Scholastica,national-universities,234,2144,74.0,3.5,1110-1310,,,
College of the Holy Cross,national-liberal-arts-colleges,33,3138,43.0,,1240-1420,,,
College of Wooster,national-liberal-arts-colleges,76,1973,61.0,3.7,1220-1430,,,
Colorado College,national-liberal-arts-colleges,27,2241,14.0,3.9,1250-1455,,,
Colorado School of Mines,national-universities,89,5491,57.0,3.8,1310-1470,3.3,,3.2
Colorado State University,national-universities,151,25362,90.0,3.6,1080-1290,2.8,3.1,3.0
Colorado Technical University,national-universities,-1,24759,,,,2.5,,2.0
Columbia University,national-universities,18,8148,6.0,,1460-1570,3.9,,4.3
Concordia College at Moorhead,national-liberal-arts-colleges,145,1883,72.0,3.6,1076-1250,,,
Concordia University -- Irvine,national-universities,317,1584,81.0,3.6,1030-1260,,,
Concordia University Wisconsin,national-universities,317,2908,69.0,,,,,
Connecticut College,national-liberal-arts-colleges,55,1829,41.0,3.7,1333-1476,,,< 2.0
Cornell College,national-liberal-arts-colleges,100,1045,81.0,3.5,1155-1405,2.4,,
Cornell University,national-universities,17,15503,9.0,,1450-1560,4.3,4.2,4.6
Covenant College,national-liberal-arts-colleges,147,872,89.0,3.7,1070-1300,,,
Creighton University,national-universities,115,4481,78.0,3.8,1130-1370,,3.0,
CUNY--City College,national-universities,151,12364,60.0,3.2,1050-1260,2.5,,2.6
Daemen University,national-universities,-1,1787,75.0,3.5,1110-1288,,,
Dallas Baptist University,national-universities,-1,3093,94.0,3.5,940-1200,,,
